iter	Accuracy	MultiClass
0	0.6322941647	1.073881589
1	0.6310951239	1.052243135
2	0.6314948042	1.032967972
3	0.6302957634	1.014659078
4	0.6302957634	0.9985817908
5	0.6302957634	0.9848394465
6	0.6298960831	0.9709654063
7	0.6298960831	0.9577895935
8	0.6298960831	0.9467392598
9	0.6294964029	0.9354655817
10	0.6302957634	0.9253911693
11	0.6298960831	0.9166469326
12	0.6294964029	0.9075316662
13	0.6298960831	0.8991206255
14	0.6298960831	0.8910398874
15	0.6294964029	0.8843316685
16	0.6290967226	0.8776387488
17	0.6298960831	0.8709968022
18	0.6298960831	0.8651543109
19	0.6298960831	0.8600090589
20	0.6294964029	0.8546852422
21	0.6302957634	0.8494342367
22	0.6294964029	0.8448638059
23	0.6302957634	0.8404809246
24	0.6294964029	0.8357375672
25	0.6290967226	0.8321951254
26	0.6298960831	0.8287594064
27	0.6302957634	0.8253373787
28	0.6302957634	0.8226681818
29	0.6302957634	0.8195823922
30	0.6302957634	0.8163383298
31	0.6302957634	0.8134411243
32	0.6302957634	0.8105096263
33	0.6298960831	0.8080427651
34	0.6298960831	0.8055475404
35	0.6298960831	0.8029723878
36	0.6298960831	0.8007879105
37	0.6298960831	0.7989753775
38	0.6298960831	0.7963117701
39	0.6298960831	0.7944459579
40	0.6302957634	0.7925921495
41	0.6298960831	0.790981504
42	0.6298960831	0.7892734769
43	0.6298960831	0.7871716785
44	0.6298960831	0.7858328646
45	0.6294964029	0.7843765079
46	0.6302957634	0.7828272962
47	0.6306954436	0.781365507
48	0.6326938449	0.7796441798
49	0.6326938449	0.778161313
50	0.6334932054	0.7767585435
51	0.6322941647	0.7752153811
52	0.6318944844	0.7740703628
53	0.6330935252	0.7730019521
54	0.6330935252	0.7720109554
55	0.6334932054	0.7710837585
56	0.6334932054	0.7697138839
