iter	Passed	Remaining
0	4	2378
1	6	1736
2	9	1533
3	10	1327
4	12	1274
5	14	1163
6	16	1150
7	18	1166
8	22	1224
9	24	1212
10	27	1205
11	29	1195
12	31	1196
13	34	1185
14	36	1172
15	39	1202
16	42	1199
17	44	1194
18	47	1205
19	49	1197
20	52	1191
21	54	1185
22	57	1182
23	59	1175
24	61	1170
25	63	1164
26	66	1160
27	68	1157
28	70	1151
29	73	1147
30	75	1142
31	77	1137
32	80	1134
33	82	1129
34	84	1123
35	86	1119
36	88	1112
37	91	1109
38	93	1107
39	96	1104
40	98	1099
41	100	1097
42	102	1092
43	105	1090
44	107	1087
45	109	1082
46	112	1080
47	114	1076
48	116	1073
49	118	1070
50	121	1066
51	123	1063
52	125	1061
53	128	1058
54	130	1054
55	132	1051
56	134	1048
57	137	1044
58	139	1042
59	141	1039
60	143	1036
61	146	1033
62	148	1030
63	150	1028
64	153	1026
65	155	1022
66	157	1019
67	160	1016
68	162	1013
69	164	1010
70	166	1008
71	169	1005
72	171	1002
73	173	998
74	175	995
75	177	992
76	180	989
77	182	987
78	185	986
79	187	984
80	189	982
81	192	978
82	194	975
83	196	973
84	199	972
85	201	969
86	203	967
87	206	964
88	208	961
89	210	959
90	213	957
91	215	955
92	217	953
93	220	950
94	222	948
95	224	945
96	226	943
97	229	940
98	231	937
99	233	935
100	236	932
101	238	930
102	240	927
103	243	925
104	245	924
105	248	922
106	250	919
107	252	917
108	255	915
109	257	913
110	259	910
111	262	908
112	264	907
113	267	904
114	269	902
115	272	900
116	274	897
117	276	895
118	278	893
119	281	891
120	283	888
121	286	888
122	289	888
123	292	885
124	294	883
125	296	880
126	299	878
127	301	875
128	303	872
129	305	869
130	307	866
131	309	864
132	312	861
133	314	858
134	316	855
135	318	853
136	320	850
137	323	847
138	325	845
139	327	842
140	329	839
141	332	837
142	334	834
143	336	832
144	339	831
145	344	834
146	347	834
147	351	835
148	353	833
149	358	835
150	361	835
151	363	832
152	366	830
153	368	827
154	371	826
155	373	823
156	375	821
157	378	819
158	381	817
159	383	814
160	385	812
161	388	809
162	390	807
163	392	804
164	395	802
165	397	799
166	399	797
