iter	RMSE
0	563.2165481
1	548.8278053
2	536.1277082
3	524.0092091
4	512.7813776
5	501.4368941
6	490.876181
7	481.3101106
8	472.1506911
9	463.8002213
10	456.4009783
11	449.0498647
12	443.1487922
13	437.066863
14	431.6109852
15	426.729014
16	421.9320818
17	417.6885117
18	413.2341991
19	409.271689
20	405.1934676
21	401.7221462
22	398.4867128
23	395.9031038
24	392.9698954
25	390.5669308
26	388.2346807
27	385.9501882
28	383.9720614
29	382.1309008
30	380.1919471
31	378.643697
32	377.116099
33	375.2008476
34	373.4237156
35	372.6660997
36	371.6008522
37	370.1744157
38	368.8158045
39	367.8599948
40	366.8367478
41	365.4071476
42	364.0572804
43	363.1556142
44	361.6802758
45	360.7454611
46	360.0887478
47	359.3516958
48	358.1881542
49	357.1579653
50	356.1985262
51	355.1697815
52	354.1076445
53	353.1813325
54	352.4606041
55	351.8730647
56	351.0255182
57	350.4744928
58	349.8235546
59	349.1819814
60	348.4560149
61	347.6900429
62	347.1497455
63	346.2386662
64	345.4388263
65	344.6075291
66	343.91795
67	342.9463029
68	342.3938734
69	341.7096125
70	341.187845
71	340.5753639
72	339.9243515
73	339.4267695
74	339.2054755
75	338.8315917
76	338.1226001
77	337.7823615
78	337.3439654
79	336.759509
80	336.3001344
81	335.7339071
82	335.1719627
83	334.7676867
84	334.4858715
85	334.0992669
86	333.5690696
87	333.3834893
88	332.4790214
89	332.1510855
90	331.8258208
91	331.186747
92	330.5015145
93	330.2136402
94	329.7444636
95	329.3278499
96	328.9942456
97	328.6201727
98	328.2802562
99	328.1170481
100	326.9893283
101	326.2770147
102	325.9978056
103	325.4199383
104	325.0940633
105	324.6698616
106	324.187122
107	323.9623038
108	323.5548012
109	322.912889
110	322.4115523
111	322.0421671
112	321.699557
113	321.5094797
114	321.3044803
115	321.0626983
116	320.3161982
117	319.7430298
118	319.6375084
119	319.5218026
120	318.8388572
121	318.2970322
122	317.606281
123	316.7171985
124	316.1803588
125	315.5845444
126	315.3306504
127	314.5215346
128	313.9962972
129	313.504254
130	312.9841258
131	312.7818051
132	312.6300498
133	312.0242874
134	311.6807332
135	311.1696615
136	310.9149288
137	310.616823
138	310.4607549
139	310.3289552
140	309.9170739
141	309.1880732
142	309.0275912
143	308.8326066
144	308.4153769
145	308.1486565
146	307.9828164
147	307.6385191
148	307.313279
149	306.861501
150	306.3916551
151	305.7906917
152	305.6416866
153	305.1106819
154	304.6306377
155	304.3754771
156	304.1795966
157	303.6909908
158	303.2873086
