iter	Passed	Remaining
0	1	753
1	2	641
2	3	594
3	5	636
4	6	600
5	7	595
6	8	579
7	9	565
8	10	551
9	11	551
10	12	543
11	13	535
12	14	527
13	14	519
14	15	513
15	16	508
16	17	503
17	18	498
18	19	494
19	20	491
20	21	488
21	22	485
22	23	482
23	24	481
24	25	480
25	26	479
26	27	477
27	28	474
28	29	471
29	29	469
30	30	467
31	31	465
32	32	464
33	33	462
34	35	466
35	35	460
36	36	459
37	37	458
38	38	457
39	39	456
40	40	455
41	41	453
42	42	451
43	43	450
44	44	449
45	45	447
46	46	445
47	47	444
48	48	442
49	49	441
50	49	439
51	51	439
52	51	437
53	53	437
54	53	436
55	54	435
56	55	435
57	56	434
58	57	432
59	58	430
60	59	430
61	60	429
62	61	428
63	62	426
64	63	425
65	64	424
66	65	423
67	66	422
68	67	420
69	68	419
70	69	419
71	70	418
72	71	417
73	72	416
74	73	415
75	74	414
76	75	413
77	76	412
78	77	411
79	78	410
80	79	408
81	80	407
82	80	406
83	82	408
84	83	406
85	84	407
86	85	406
87	86	405
88	87	404
89	88	403
90	89	401
91	90	400
92	91	399
93	92	398
94	93	397
95	94	395
96	95	394
97	96	394
98	96	392
99	97	391
100	99	391
101	99	390
102	100	389
103	102	389
104	103	388
105	104	387
106	105	386
107	106	384
108	106	383
109	107	382
110	108	381
111	109	380
112	110	379
113	111	378
114	112	378
115	114	377
116	115	376
117	116	375
118	117	374
119	117	373
120	118	372
121	119	371
122	120	369
123	121	368
124	122	367
125	123	366
126	124	365
127	125	364
128	126	364
129	127	364
130	128	363
131	129	361
132	130	360
133	131	359
134	132	358
135	133	357
136	134	356
137	135	354
138	136	353
139	137	352
140	138	351
141	139	350
142	140	349
143	141	348
144	142	347
145	143	346
146	144	346
147	145	345
148	146	344
149	146	342
150	147	341
151	148	340
152	149	339
153	150	338
154	151	337
155	152	336
156	153	335
157	154	335
158	155	334
